episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-1.0053708296319461,0.9942312431217291,-0.9572211444532313,1.0092658885061236,-0.04814968517871477,0.04021880669975478,-1.1965264305665388,1.2615823606326544,-2407.484258935738,2010.9403349877387,0.4116815557838392,0.44236480551462454,2407.484258935738,2010.9403349877387,10747009.731889134,52.1505376344086,4464,744.0,False,True
2,-1.008461864175354,0.9969397942933588,-0.9606833389147672,1.0103322901219933,-0.04777852526058686,0.03853733151692556,-1.2008541736434588,1.2629153626524916,-2388.926263029343,1926.8665758462776,0.41315049484874844,0.4424921078793117,2388.926263029343,1926.8665758462776,10664166.838162987,52.32974910394266,4464,744.0,False,True
3,-0.88015796578212,0.8136692274432592,-0.8298155771645483,0.8276728862456361,-0.05034238861757165,0.04696369858030489,-1.0372694714556854,1.034591107807045,-2517.119430878582,2348.1849290152445,0.3557742207897357,0.3675045834325045,2517.119430878582,2348.1849290152445,11236421.139441991,51.075268817204304,4464,744.0,False,True
4,-0.877077997387696,0.8136554977456093,-0.8267841506533472,0.8287677542033921,-0.0502938467343487,0.04745809568575347,-1.033480188316684,1.03595969275424,-2514.692336717435,2372.904784287673,0.3547664887605596,0.3676374480358893,2514.692336717435,2372.904784287673,11225586.591106629,50.82885304659498,4464,744.0,False,True
5,-0.8864152823937692,0.8180819043922011,-0.8385194099036659,0.8271625600818495,-0.047895872490103235,0.03495727151160571,-1.0481492623795825,1.033953200102312,-2394.793624505162,1747.8635755802854,0.36124988425676297,0.36622337601835253,2394.793624505162,1747.8635755802854,10690358.739791043,51.45609318996416,4464,744.0,False,True
6,-0.8858117949221096,0.8138972796765619,-0.8352930566657166,0.8267493061422145,-0.05051873825639307,0.04299467306259317,-1.0441163208321456,1.0334366326777682,-2525.9369128196536,2149.7336531296587,0.3602122998825536,0.36642879372295706,2525.9369128196536,2149.7336531296587,11275782.378826933,51.20967741935484,4464,744.0,False,True
7,-0.8784256491348492,0.8095521479856715,-0.8280892682605111,0.8234388517196795,-0.05033638087433811,0.0397618857197979,-1.0351115853256387,1.0292985646495993,-2516.819043716905,1988.0942859898948,0.3549690679470404,0.36502819351079935,2516.819043716905,1988.0942859898948,11235080.211152265,51.142473118279575,4464,744.0,False,True
8,-0.8835986573810491,0.8094438726698283,-0.8319804341495352,0.8233838251136613,-0.05161822323151403,0.04235311525118145,-1.0399755426869186,1.0292297813920765,-2580.9111615757015,2117.655762559072,0.3569456039965667,0.36505266603756126,2580.9111615757015,2117.655762559072,11521187.42527393,51.344086021505376,4464,744.0,False,True
9,-0.8782992195351024,0.8123732665293066,-0.8291471547654754,0.8247004041317579,-0.04915206476962681,0.03787466024847221,-1.0364339434568444,1.0308755051646972,-2457.60323848134,1893.7330124236105,0.3567804330052989,0.36523945528848495,2457.60323848134,1893.7330124236105,10970740.856580703,51.00806451612904,4464,744.0,False,True
10,-0.880153383444075,0.8116817403854594,-0.8306762473112929,0.8238665301612155,-0.04947713613278218,0.03849710063711395,-1.038345309139116,1.0298331627015194,-2473.856806639109,1924.8550318556977,0.3571616093654925,0.3648447257389113,2473.856806639109,1924.8550318556977,11043296.784836983,51.16487455197133,4464,744.0,False,True
11,-0.8856711604575094,0.8140706868940426,-0.836099617305927,0.8255294156070886,-0.04957154315158249,0.037080975245476315,-1.0451245216324088,1.0319117695088607,-2478.577157579124,1854.0487622738158,0.360133020821013,0.3655539352082349,2478.577157579124,1854.0487622738158,11064368.43143321,51.36648745519713,4464,744.0,False,True
12,-0.8753898561741753,0.8109587910985454,-0.8256793845679377,0.8235639634653719,-0.049710471606237504,0.039312237423765856,-1.0320992307099222,1.0294549543317149,-2485.5235803118753,1965.6118711882925,0.3537430314687679,0.36522357106067105,2485.5235803118753,1965.6118711882925,11095377.26251221,51.00806451612904,4464,744.0,False,True
