,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours)
0,1,-0.07105596354882733,0.18525207110204822,-0.034286652213833715,0.1683689787111749,-0.036769311334993615,0.05909404194648821,-0.06857330442766743,0.3367379574223498,-735.3862266998724,1181.8808389297642,0.01660437680936426,0.10094688138033767,735.3862266998724,1181.8808389297642,35369135.95935706,4.496215901530273,48096.0,8016.0
1,2,-0.06451707513472021,0.16790588180950872,-0.024908332188645743,0.14260011440081016,-0.039608742946074485,0.0693434208055157,-0.049816664377291486,0.2852002288016203,-792.1748589214897,1386.8684161103138,0.012495605218804004,0.08523372296115589,792.1748589214897,1386.8684161103138,38100442.01468796,3.249750499001996,48096.0,8016.0
2,3,-0.05965546761375684,0.14381315353008267,-0.019299725653723593,0.11951148096068731,-0.04035574196003325,0.06841346726446332,-0.038599451307447186,0.23902296192137462,-807.114839200665,1368.2693452892663,0.00805291194516338,0.06446829328568796,807.114839200665,1368.2693452892663,38818995.306195185,2.7829757152361942,48096.0,8016.0
3,4,-0.058523163074693824,0.1367015769286946,-0.017229430908139318,0.1097780324429546,-0.041293732166554506,0.07232876961625723,-0.034458861816278635,0.2195560648859092,-825.87464333109,1446.5753923251445,0.0067493058689713035,0.05535034177130699,825.87464333109,1446.5753923251445,39721266.8456521,2.5760978043912175,48096.0,8016.0
4,5,-0.05467066472608283,0.12554659867046997,-0.013944694888562459,0.09822449013123612,-0.04072596983752037,0.07208355088826235,-0.027889389777124917,0.19644898026247223,-814.5193967504074,1441.6710177652471,0.005379726038163483,0.04877068825905766,814.5193967504074,1441.6710177652471,39175124.9061076,2.1020459081836327,48096.0,8016.0
5,6,-0.05927692054885379,0.1419936284222154,-0.01921616702341471,0.11665034219148893,-0.040060753525439086,0.0695063735144581,-0.03843233404682942,0.23330068438297785,-801.2150705087818,1390.127470289162,0.008011219217535448,0.06040594811003422,801.2150705087818,1390.127470289162,38535240.031190366,2.812084165003327,48096.0,8016.0
6,7,-0.05366553724377342,0.12029742134685902,-0.011773359765365561,0.09084726285382953,-0.041892177478407865,0.07517218899861305,-0.023546719530731123,0.18169452570765907,-837.8435495681572,1503.443779972261,0.004667171817281785,0.04587263232105636,837.8435495681572,1503.443779972261,40296923.360030085,1.756902860944777,48096.0,8016.0
7,8,-0.06057297449643646,0.14127792451030052,-0.021538167886093744,0.11615983129274837,-0.039034806610342726,0.0661686221658461,-0.04307633577218749,0.23231966258549674,-780.6961322068544,1323.3724433169218,0.006839383187715719,0.049567614708124264,780.6961322068544,1323.3724433169218,37548361.17462087,3.4732618097139056,48096.0,8016.0
8,9,-0.05794009291267527,0.13597461108917575,-0.01689610867212398,0.11041733213080519,-0.04104398424055129,0.0728357678534022,-0.03379221734424796,0.22083466426161039,-820.8796848110258,1456.7153570680443,0.007115594840183568,0.058389626942385024,820.8796848110258,1456.7153570680443,39481029.3206711,2.4513473053892216,48096.0,8016.0
9,10,-0.05528392461322514,0.1306887562246772,-0.014483796407419999,0.10451857878982747,-0.04080012820580515,0.07357411468317744,-0.028967592814839998,0.20903715757965494,-816.0025641161028,1471.4822936635487,0.006540916099105471,0.05762109423915712,816.0025641161028,1471.4822936635487,39246459.323728085,2.030314371257485,48096.0,8016.0
