episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
1,-3.7353777228543885,3.4731439132591144,-2.1816238622207162,2.4982626845910088,-1.5537538606336718,1.522726623324974,-4.3632477244414325,4.9965253691820175,-31075.07721267344,30454.532466499484,0.08256288862294184,0.37514492592919835,31075.07721267344,30454.532466499484,138719144.67737424,54.905913978494624,4464,744.0,False,True
2,-3.7632999866076844,3.539134108643342,-2.2054018316973285,2.556340971848018,-1.5578981549103545,1.513966185904954,-4.410803663394657,5.112681943696036,-31157.963098207096,30279.323718099076,0.08490806054764709,0.46929234224772676,31157.963098207096,30279.323718099076,139089147.27039647,55.219534050179206,4464,744.0,False,True
3,-3.771250327453656,3.504792851993671,-2.2222171087564146,2.5028334818622104,-1.5490332186972418,1.5211954765317652,-4.444434217512829,5.005666963724421,-30980.66437394483,30423.909530635297,0.08360599837033365,0.37560898648255125,30980.66437394483,30423.909530635297,138297685.76528972,55.5331541218638,4464,744.0,False,True
4,-3.772862579432488,3.5493217788244316,-2.2603451668468697,2.5647040468757436,-1.5125174125856182,1.491150630860476,-4.520690333693739,5.129408093751487,-30250.348251712367,29823.012617209522,0.07744433163433113,0.4032633849525376,30250.348251712367,29823.012617209522,135037554.595644,54.950716845878134,4464,744.0,False,True
5,-3.7728615084725563,3.5219707976047805,-2.205039929231912,2.528190380652838,-1.567821579240644,1.5273250234880191,-4.410079858463824,5.056380761305676,-31356.431584812883,30546.500469760384,0.08496982494145557,0.4413198341268145,31356.431584812883,30546.500469760384,139975110.5946047,54.950716845878134,4464,744.0,False,True
6,-3.7659310714604177,3.5117742868345005,-2.2126811579720216,2.5294460752900187,-1.553249913488396,1.520546428819895,-4.425362315944043,5.0588921505800375,-31064.99826976791,30410.928576397902,0.08323867682064877,0.42294805826189474,31064.99826976791,30410.928576397902,138674152.27624395,55.42114695340502,4464,744.0,False,True
7,-3.781380630562637,3.5661315858483396,-2.265331125811715,2.568110252668099,-1.5160495047509217,1.5053295767515904,-4.53066225162343,5.136220505336198,-30320.99009501843,30106.591535031806,0.07574800714930703,0.3961067995749005,30320.99009501843,30106.591535031806,135352899.78416228,55.062724014336915,4464,744.0,False,True
8,-3.796701907805573,3.543981652659402,-2.228467784498942,2.5455874824783797,-1.5682341233066308,1.5526477142174617,-4.456935568997884,5.0911749649567595,-31364.682466132614,31052.95428434923,0.0973762990550316,0.46982781747426566,31364.682466132614,31052.95428434923,140011942.52881598,54.79390681003584,4464,744.0,False,True
9,-3.7271184660106034,3.4909134737986953,-2.183408976870121,2.522496485661217,-1.5437094891404817,1.5206504883527747,-4.366817953740242,5.044992971322434,-30874.189782809633,30413.009767055493,0.07940485379379668,0.39365405383910085,30874.189782809633,30413.009767055493,137822383.1904622,54.36827956989247,4464,744.0,False,True
10,-3.7707114535792283,3.535531443626646,-2.2258110733668124,2.5164325428780385,-1.544900380212416,1.5260747888212307,-4.451622146733625,5.032865085756077,-30898.007604248316,30521.495776424614,0.08095516784321437,0.3676049765793634,30898.007604248316,30521.495776424614,137928705.94536448,55.95878136200717,4464,744.0,False,True
11,-3.777442287698618,3.5472003483048375,-2.290961112834103,2.5405611771045784,-1.4864811748645153,1.4586409683593458,-4.581922225668206,5.081122354209157,-29729.623497290304,29172.819367186912,0.07276695240873174,0.3325719736348737,29729.623497290304,29172.819367186912,132713039.29190391,56.13799283154122,4464,744.0,False,True
12,-3.7350869873079526,3.493625783356237,-2.223182427312239,2.527125533853536,-1.5119045599957133,1.4853840329448444,-4.446364854624478,5.054251067707072,-30238.09119991426,29707.680658896887,0.07638298586306844,0.39574623376614493,30238.09119991426,29707.680658896887,134982839.11641726,55.51075268817204,4464,744.0,False,True
13,-3.7846703122140295,3.5435312694080796,-2.2414426648859753,2.5363691096105736,-1.5432276473280544,1.506021694323704,-4.482885329771951,5.072738219221147,-30864.552946561085,30120.433886474075,0.0790144069256726,0.40142514493328213,30864.552946561085,30120.433886474075,137779364.3534487,55.91397849462365,4464,744.0,False,True
14,-3.788074223468015,3.535518529423832,-2.2320983103284644,2.527748116043274,-1.5559759131395507,1.5179917813175867,-4.464196620656929,5.055496232086548,-31119.51826279101,30359.835626351738,0.08602937099647277,0.409951733216852,31119.51826279101,30359.835626351738,138917529.52509907,55.71236559139785,4464,744.0,False,True
