,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours)
0,1,-3.7631304249641544,3.517672690065068,-2.214925579750648,2.5300663131659635,-1.548204845213506,1.5152727880220378,-4.429851159501296,5.060132626331927,-30964.096904270125,30305.455760440753,0.08269822082334186,0.41292589474776575,30964.096904270125,30305.455760440753,138223728.58066183,55.11200716845879,4464.0,744.0
1,2,-3.7683687058836925,3.5296664885535165,-2.2231400237039223,2.5364145677951506,-1.5452286821797692,1.5250497993925907,-4.4462800474078445,5.072829135590301,-30904.57364359538,30500.995987851806,0.08334460093239969,0.4100283411459051,30904.57364359538,30500.995987851806,137958016.74500978,55.12096774193549,4464.0,744.0
2,3,-3.7742548620559235,3.534673988858619,-2.2503024208189357,2.536336313967624,-1.5239524412369874,1.4930465250176526,-4.5006048416378714,5.072672627935248,-30479.048824739748,29860.930500353046,0.07908569841774905,0.387882823983832,30479.048824739748,29860.930500353046,136058473.95363823,55.837813620071685,4464.0,744.0
3,4,-3.7810025530078937,3.5224392810498424,-2.2169706639489624,2.529102389302134,-1.564031889058932,1.5300732465538924,-4.433941327897925,5.058204778604268,-31280.637781178637,30601.464931077855,0.08582130515943616,0.4256656622898178,31280.637781178637,30601.464931077855,139636767.05518144,55.7078853046595,4464.0,744.0
4,5,-3.7899934180147055,3.5467703262013814,-2.2558938085796485,2.546124284904457,-1.534099609435057,1.4969554927606208,-4.511787617159297,5.092248569808914,-30681.992188701133,29939.10985521241,0.08334211319496591,0.4168948255327525,30681.992188701133,29939.10985521241,136964413.13036186,55.97670250896057,4464.0,744.0
