Office_Heating_RL,Office_Cooling_RL
18.945220947265625,26.486740112304688
19.00052261352539,26.423423767089844
19.044170379638672,26.349945068359375
19.079071044921875,26.267330169677734
19.109285354614258,26.17631721496582
19.13697052001953,26.075475692749023
19.04422378540039,26.341903686523438
19.02771759033203,26.51763153076172
19.003829956054688,26.697172164916992
18.271127700805664,25.408794403076172
18.3361873626709,25.537216186523438
18.391103744506836,25.671245574951172
18.324125289916992,25.844205856323242
18.332494735717773,25.943309783935547
18.335750579833984,26.048452377319336
18.333505630493164,26.157447814941406
18.32596206665039,26.269079208374023
18.313518524169922,26.3834171295166
18.17559814453125,26.469532012939453
18.134769439697266,26.469728469848633
18.09524154663086,26.466981887817383
18.056011199951172,26.460613250732422
18.017200469970703,26.450456619262695
17.978588104248047,26.43634033203125
18.15347671508789,27.484161376953125
18.4737548828125,27.336002349853516
18.689998626708984,26.984893798828125
18.73001480102539,26.602306365966797
18.64511489868164,26.401330947875977
18.497709274291992,26.33454704284668
19.39499282836914,27.276695251464844
19.37167739868164,27.29166030883789
19.14847183227539,27.23968505859375
18.942520141601562,27.170989990234375
18.738746643066406,26.962778091430664
18.49301528930664,26.62700080871582
18.758098602294922,26.96550941467285
19.01758575439453,27.5717716217041
19.714941024780273,28.063783645629883
20.208824157714844,28.197742462158203
20.68004608154297,28.181392669677734
21.13123321533203,28.144136428833008
21.43010902404785,27.70657730102539
21.154273986816406,26.726455688476562
20.740312576293945,25.641521453857422
20.373340606689453,24.745624542236328
20.123214721679688,24.092050552368164
19.96635627746582,23.614887237548828
20.23413848876953,23.858718872070312
20.525909423828125,24.059354782104492
20.819547653198242,24.309940338134766
21.145742416381836,24.54440689086914
21.45217514038086,24.78040885925293
21.731792449951172,25.007503509521484
21.128095626831055,25.06976318359375
21.056455612182617,25.013473510742188
21.016368865966797,24.98262596130371
20.98313331604004,24.985750198364258
20.959789276123047,24.999614715576172
20.939743041992188,25.02233123779297
21.197837829589844,25.10703468322754
21.29720687866211,25.052865982055664
21.186599731445312,25.001201629638672
21.00655746459961,24.92142105102539
20.815799713134766,24.825176239013672
20.61505126953125,24.726333618164062
20.666248321533203,26.07382583618164
21.118934631347656,27.21742820739746
21.282957077026367,27.750972747802734
21.315492630004883,27.877445220947266
21.243587493896484,27.868431091308594
21.140201568603516,27.825098037719727
21.376041412353516,27.468523025512695
21.139753341674805,26.64966583251953
20.818592071533203,25.828304290771484
20.550914764404297,25.294960021972656
20.414901733398438,25.0457763671875
20.36745834350586,24.97836685180664
19.789810180664062,25.067874908447266
19.758285522460938,25.089427947998047
19.767555236816406,25.14085578918457
19.875452041625977,25.146488189697266
19.993024826049805,25.170475006103516
20.112781524658203,25.206003189086914
20.82086944580078,25.58751106262207
21.040302276611328,25.847936630249023
21.195493698120117,26.105012893676758
21.24400520324707,26.47540283203125
21.27881622314453,26.82045555114746
21.30410385131836,27.139408111572266
21.2080078125,27.291364669799805
21.075428009033203,27.377761840820312
20.93056869506836,27.452465057373047
20.903562545776367,27.363950729370117
20.870708465576172,27.26993179321289
20.834354400634766,27.176101684570312
21.356992721557617,28.434785842895508
21.841554641723633,29.520963668823242
22.056121826171875,29.929885864257812
22.069252014160156,30.0
22.028125762939453,30.0
21.962663650512695,30.0
21.715177536010742,29.781082153320312
21.44891357421875,29.20632553100586
21.143234252929688,28.53779411315918
20.86678123474121,27.88258934020996
20.623428344726562,27.30654525756836
20.583038330078125,26.856609344482422
20.62807846069336,26.833221435546875
20.75679588317871,26.65990447998047
20.858379364013672,26.5186767578125
20.952728271484375,26.52060890197754
21.062910079956055,26.609169006347656
21.190628051757812,26.768308639526367
21.06439781188965,26.51315689086914
20.937091827392578,26.252992630004883
20.822776794433594,26.01504898071289
20.720239639282227,25.794830322265625
20.628976821899414,25.588890075683594
20.547992706298828,25.394407272338867
20.488224029541016,25.501562118530273
20.41861343383789,25.522598266601562
20.356502532958984,25.54986000061035
20.351150512695312,25.606229782104492
20.29589080810547,25.649871826171875
20.24362564086914,25.70157241821289
19.845478057861328,27.75602912902832
19.174510955810547,28.588926315307617
18.556976318359375,28.68997573852539
18.128698348999023,28.566844940185547
17.789968490600586,28.300052642822266
17.47757911682129,27.96479606628418
17.107635498046875,27.90631103515625
16.841585159301758,27.790796279907227
16.631855010986328,27.727413177490234
16.465675354003906,27.70778465270996
16.342548370361328,27.717668533325195
