,evaluation_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_comfort_penalty,std_comfort_penalty,mean_energy_penalty,std_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours)
0,1,-1.0069163469036502,0.995585518707544,-0.9589522416839993,1.0097990893140585,-0.04796410521965082,0.03937806910834017,-1.1986903021049988,1.2622488616425729,-2398.2052609825405,1968.903455417008,0.41241602531629384,0.4424284566969681,2398.2052609825405,1968.903455417008,10705588.28502606,52.24014336917563,4464.0,744.0
1,2,-0.878617981584908,0.8136623625944343,-0.8282998639089478,0.8282203202245141,-0.05031811767596017,0.04721089713302918,-1.0353748298861847,1.0352754002806426,-2515.9058837980083,2360.5448566514588,0.3552703547751477,0.3675710157341969,2515.9058837980083,2360.5448566514588,11231003.86527431,50.95206093189964,4464.0,744.0
2,3,-0.8861135386579394,0.8159895920343815,-0.8369062332846913,0.826955933112032,-0.04920730537324815,0.03897597228709944,-1.046132791605864,1.03369491639004,-2460.3652686624077,1948.798614354972,0.36073109206965825,0.36632608487065477,2460.3652686624077,1948.798614354972,10983070.559308987,51.3328853046595,4464.0,744.0
3,4,-0.8810121532579491,0.8094980103277499,-0.8300348512050231,0.8234113384166704,-0.05097730205292607,0.04105750048548967,-1.0375435640062787,1.029264173020838,-2548.865102646303,2052.8750242744836,0.35595733597180357,0.3650404297741803,2548.865102646303,2052.8750242744836,11378133.818213098,51.24327956989248,4464.0,744.0
4,5,-0.8792263014895887,0.812027503457383,-0.8299117010383841,0.8242834671464867,-0.04931460045120449,0.038185880442793085,-1.0373896262979803,1.0303543339331083,-2465.730022560225,1909.294022139654,0.3569710211853957,0.3650420905136981,2465.730022560225,1909.294022139654,11007018.820708843,51.08646953405018,4464.0,744.0
5,6,-0.8805305083158423,0.812514738996294,-0.8308895009369324,0.8245466895362302,-0.04964100737891,0.03819660633462109,-1.0386118761711653,1.0306833619202878,-2482.0503689455,1909.8303167310542,0.35693802614489045,0.36538875313445296,2482.0503689455,1909.8303167310542,11079872.846972711,51.187275985663085,4464.0,744.0
6,7,-0.8849746346530173,0.813438541438291,-0.8348369772601196,0.8257814538734995,-0.050137657392897744,0.038720103081255536,-1.0435462215751494,1.0322268173418743,-2506.8828696448873,1936.0051540627765,0.3590946947801813,0.3656611967335194,2506.8828696448873,1936.0051540627765,11190725.130094776,51.344086021505376,4464.0,744.0
7,8,-0.8805840258128143,0.8123535836837299,-0.830843318728618,0.8248962077598543,-0.04974070708419616,0.03840585262449074,-1.0385541484107723,1.0311202596998177,-2487.0353542098082,1920.292631224537,0.3572005842509016,0.3656919669626697,2487.0353542098082,1920.292631224537,11102125.821192583,51.13127240143369,4464.0,744.0
8,9,-0.8782222305386151,0.8115759891314497,-0.8280253375095685,0.8245325223384747,-0.050196893029046744,0.0401418402016334,-1.0350316718869603,1.0306656529230935,-2509.8446514523366,2007.0920100816702,0.35581883163938605,0.3650945312856187,2509.8446514523366,2007.0920100816702,11203946.52408323,51.00806451612903,4464.0,744.0
9,10,-0.8800712318119364,0.8145206155125728,-0.8310348941117645,0.8260996612897393,-0.04903633770017186,0.037698663172712255,-1.0387936176397055,1.0326245766121742,-2451.816885008592,1884.933158635613,0.3569697582728667,0.3657544951454084,2451.816885008592,1884.933158635613,10944910.574678356,51.16487455197133,4464.0,744.0
